Industry,Applied,Received
Manufacturing,14.0,7.9
"Water Supply, Sewerage, Waste Management And Remediation Activities",15.7,4.3
Construction,13.5,5.7
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,44.6,33.4
Accommodation And Food Service Activities,78.2,63.3
Transportation And Storage,24.1,14.5
Information And Communication,8.2,3.1
"Professional, Scientific And Technical Activities",12.6,7.8
Administrative And Support Service Activities,20.1,12.0
Education,8.5,3.8
Human Health And Social Work Activities,13.4,9.2
"Arts, Entertainment And Recreation",57.2,45.0
