Industry,Applied,Received
Manufacturing,63.5, 19.9
"Water Supply, Sewerage, Waste Management And Remediation Activities",68.6, 28.6
Construction,80.9, 29.1
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,72.6, 23.9
Accommodation And Food Service Activities,87.1, 25.1
Transportation And Storage,76.6, 28.7
Information And Communication,40.1, 15.4
"Professional, Scientific And Technical Activities",62.2, 21.6
Administrative And Support Service Activities,75.7, 28.0
Education,40.5, 9.8
Human Health And Social Work Activities,34.5, 8.5
"Arts, Entertainment And Recreation",76.3, 21.9
