Industry,Applied,Received
Manufacturing,8.6,1.3
"Water Supply, Sewerage, Waste Management And Remediation Activities",10.0,4.3
Construction,9.6,1.8
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,9.0,1.5
Accommodation And Food Service Activities,20.6,3.5
Transportation And Storage,9.2,2.5
Information And Communication,3.8,1.0
"Professional, Scientific And Technical Activities",8.1,2.3
Administrative And Support Service Activities,12.3,1.7
Education,2.8,0.0
Human Health And Social Work Activities,2.8,0.0
"Arts, Entertainment And Recreation",18.3,4.3
