Industry,Applied,Received
Manufacturing,4.8,14.7
"Water Supply, Sewerage, Waste Management And Remediation Activities",5.7,15.7
Construction,6.0,23.4
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,13.3,18.3
Accommodation And Food Service Activities,24.9,30.6
Transportation And Storage,6.4,18.8
Information And Communication,3.6,10.6
"Professional, Scientific And Technical Activities",4.9,14.6
Administrative And Support Service Activities,21.8,14.7
Education,2.2,5.7
Human Health And Social Work Activities,10.6,4.2
"Arts, Entertainment And Recreation",18.0,25.5
