Industry,Applied,Received
Manufacturing,19.3,14.7
"Water Supply, Sewerage, Waste Management And Remediation Activities",21.4,15.7
Construction,28.7,23.4
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,25.0,18.3
Accommodation And Food Service Activities,42.2,30.6
Transportation And Storage,24.8,18.8
Information And Communication,13.7,10.6
"Professional, Scientific And Technical Activities",18.6,14.6
Administrative And Support Service Activities,20.5,14.7
Education,7.0,5.7
Human Health And Social Work Activities,6.3,4.2
"Arts, Entertainment And Recreation",33.1,25.5
