Industry,Applied,Received
Manufacturing,44.3,33.0
"Water Supply, Sewerage, Waste Management And Remediation Activities",57.1,37.1
Construction,59.9,44.3
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,60.1,46.9
Accommodation And Food Service Activities,80.6,59.6
Transportation And Storage,55.3,44.0
Information And Communication,47.4,39.7
"Professional, Scientific And Technical Activities",66.2,51.8
Administrative And Support Service Activities,63.7,46.9
Education,26.3,18.4
Human Health And Social Work Activities,16.2,15.5
"Arts, Entertainment And Recreation",61.2,43.5
