Industry,Total
Manufacturing,34.8
"Water Supply, Sewerage, Waste Management And Remediation Activities",34.8
Construction,27.5
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,34.3
Accommodation And Food Service Activities,31.6
Transportation And Storage,32.7
Information And Communication,34.4
"Professional, Scientific And Technical Activities",36.2
Administrative And Support Service Activities,34.5
Education,41.8
Human Health And Social Work Activities,49.0
"Arts, Entertainment And Recreation",38.7
All Industries,34.7
